Exchange,Base,Quote,Time,Open,High,Low,Close,Quote Volume,Base Volume
KRAKEN,BTC,USD,2022-11-01 00:00,20498,20498,20465.7,20489.5,217782.8068,10.63106286
KRAKEN,BTC,USD,2022-11-01 00:15,20490.4,20491.5,20450.8,20451.4,116045.2588,5.66891602
KRAKEN,BTC,USD,2022-11-01 00:30,20465.7,20488,20454.4,20477,232059.1983,11.34200378
KRAKEN,BTC,USD,2022-11-01 00:45,20477,20477,20450.1,20452.6,77126.6748,3.76948553
KRAKEN,BTC,USD,2022-11-01 01:00,20452.6,20481.9,20452.5,20479.9,18853.81064,0.92132566
KRAKEN,BTC,USD,2022-11-01 01:15,20479.3,20519.9,20462.3,20519.9,211126.5972,10.2992988
KRAKEN,BTC,USD,2022-11-01 01:30,20519.6,20538,20507.3,20514.1,145021.9298,7.06478554
KRAKEN,BTC,USD,2022-11-01 01:45,20512.5,20515.6,20493.2,20502.3,164901.7775,8.04015348
KRAKEN,BTC,USD,2022-11-01 02:00,20502.3,20520.5,20499.7,20505.4,64691.91113,3.15443614
KRAKEN,BTC,USD,2022-11-01 02:15,20505.5,20511.2,20494.9,20510.3,84500.48447,4.1216337
KRAKEN,BTC,USD,2022-11-01 02:30,20510.2,20537.6,20505.7,20531.9,214418.8727,10.44239445
KRAKEN,BTC,USD,2022-11-01 02:45,20531.9,20568,20531.9,20568,102400.9191,4.98277238
KRAKEN,BTC,USD,2022-11-01 03:00,20568,20573.9,20522,20522,147121.5466,7.15474345
KRAKEN,BTC,USD,2022-11-01 03:15,20522,20526.2,20509.3,20509.4,25972.29522,1.26630446
KRAKEN,BTC,USD,2022-11-01 03:30,20509.3,20509.3,20480.2,20494.3,64033.47306,3.12416993
KRAKEN,BTC,USD,2022-11-01 03:45,20492.2,20500,20481,20489.1,28157.85939,1.37403705
KRAKEN,BTC,USD,2022-11-01 04:00,20489.1,20489.1,20463.9,20478,275711.407,13.47062004
KRAKEN,BTC,USD,2022-11-01 04:15,20478,20500,20478,20484.6,101282.3991,4.942322
KRAKEN,BTC,USD,2022-11-01 04:30,20479.1,20510,20473.5,20508.5,83651.38339,4.08300366
KRAKEN,BTC,USD,2022-11-01 04:45,20505,20510.8,20491.5,20491.8,240033.7827,11.71118959
KRAKEN,BTC,USD,2022-11-01 05:00,20493.8,20531,20492.8,20529.9,36045.99951,1.75673639
KRAKEN,BTC,USD,2022-11-01 05:15,20530,20530,20495.8,20507.9,143264.4429,6.97905715
KRAKEN,BTC,USD,2022-11-01 05:30,20510.7,20525.1,20509.2,20517.9,70239.92898,3.42430467
KRAKEN,BTC,USD,2022-11-01 05:45,20517.9,20544.5,20517.9,20527.4,92508.86834,4.50572462
KRAKEN,BTC,USD,2022-11-01 06:00,20529.6,20598.4,20528.2,20597.2,760617.5605,36.98765937
KRAKEN,BTC,USD,2022-11-01 06:15,20598.4,20641.1,20598.4,20622.2,636192.0134,30.83106032
KRAKEN,BTC,USD,2022-11-01 06:30,20622.1,20640.3,20597.7,20638,350791.751,17.0100205
KRAKEN,BTC,USD,2022-11-01 06:45,20638,20638.1,20619.7,20622.1,149620.6231,7.25182095
KRAKEN,BTC,USD,2022-11-01 07:00,20622.6,20645,20607,20645,647611.7065,31.39112561
KRAKEN,BTC,USD,2022-11-01 07:15,20645,20647.1,20562.2,20562.2,586232.4395,28.45582087
KRAKEN,BTC,USD,2022-11-01 07:30,20563.8,20590.1,20563.8,20579.6,170790.7832,8.29855461
